"Projektnummer";"Registrationsnummer";"Projekt-Bezeichnung";"Gebaeude-Bezeichnung";"Strasse des Gebäudes";"PLZ";"Ort";"Kanton";"BFS-Nummer";"Labelstatus";"Standard";"Zertifizierungsart";"Zertifizierungsstelle";"Anzahl Gebäude";"Einverstanden";"Mutationsdatum";"Eingereicht";"Provisorisches Zertifikat";"Definitives Zertifikat";"EBF";"Minergie-Kennzahl Anforderung";"Minergie-Kennzahl berechnet";"Heizwärmebedarf Anforderung";"Heizwärmebedarf berechnet";"Solar (m2)";"PV (kWp)";"qh-mp Berechnet";"qh-mp Anforderung";"EGID";"ParzellenNummer";"Gebaeude-Versicherungsnummer";"X-Koordinate";"Y-Koordinate";"ZertifikatGebaeudeInfo";"ZertifikatEnergieInfo";
"63242";"ZH-9547";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25";"Gossikonerstrasse 25";"8126";"Zumikon";"ZH";"160";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:09:22";"2020-06-19 07:35:02";"2021-02-01 16:09:22";" ";"740";"55.00";"50.25";"34.82";"34.44";" ";" ";" ";" ";" ";"4508";" ";" ";" ";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25, Gossikonerstrasse 25, 8126 Zumikon";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
"63242";"ZH-9548";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25";"Gossikonerstrasse 25A";"8126";"Zumikon";"ZH";"160";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:09:22";"2020-06-19 07:35:02";"2021-02-01 16:09:22";" ";"253.8";"55.00";"50.25";"34.82";"34.44";" ";" ";" ";" ";" ";"4508";" ";" ";" ";"Neubau Wohnüberbauung MFH Gossikonerstrasse 25, Gossikonerstrasse 25A, 8126 Zumikon";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
"63502";"ZH-792-P";"Neubau EFH Riedstrasse 7";"Neubau EFH Riedstrasse";"Riedstrasse 7";"8824";"Schönenberg";"ZH";"293";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-10 15:29:39";"2020-06-24 07:54:56";"2021-02-10 15:29:39";" ";"332";"50.00";"46.37";"37.77";"31.00";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau EFH Riedstrasse, Riedstrasse 7, 8824 Schönenberg";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
"63142";"ZH-9609";"Neubau MFH Residenza Ottenbach";"MFH ""Residenza Ottenbach""";"Ottenbacherstrasse 102";"8909";"Zwillikon";"ZH";"2";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-05-12 08:19:59";"2020-06-30 14:36:06";"2021-05-12 08:19:59";" ";"1974";"55.00";"46.73";"30.55";"22.78";" ";" ";" ";" ";" ";" ";" ";" ";" ";"MFH ""Residenza Ottenbach"", Ottenbacherstrasse 102, 8909 Zwillikon";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser, Elektro-Wassererwärmer und Photovoltaik";
"63361";"ZH-343-ECO";"Zollstrasse 20/36";"Zollstrasse 20/36";"Zollstrasse 20";"8005";"Zürich";"ZH";"261";"provisorisch";"Minergie-ECO";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-03-08 14:18:20";"2020-07-02 12:58:02";"2021-03-08 14:18:20";" ";"4519.5";"109.79";"94.79";"0.00";"0.00";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Zollstrasse 20/36, Zollstrasse 20, 8005 Zürich";"Gasfeuerung, Luft-Wärmepumpe, Warmwasser und Photovoltaik";
"63361";"ZH-344-ECO";"Zollstrasse 20/36";"Zollstrasse 20/36";"Zollstrasse 36";"8005";"Zürich";"ZH";"261";"provisorisch";"Minergie-ECO";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-03-08 14:18:20";"2020-07-02 12:58:02";"2021-03-08 14:18:20";" ";"4519.5";"109.79";"94.79";"0.00";"0.00";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Zollstrasse 20/36, Zollstrasse 36, 8005 Zürich";"Gasfeuerung, Luft-Wärmepumpe, Warmwasser und Photovoltaik";
"63241";"ZH-9545";"Neubau Wohnüberbauung MFH Gossikonerstrasse 23";"Neubau Wohnüberbauung MFH Gossikonerstrasse 23";"Gossikonerstrasse 23";"8126";"Zumikon";"ZH";"160";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-01 16:07:32";"2020-07-06 14:18:03";"2021-02-01 16:07:32";" ";"988";"56.96";"50.98";"34.82";"33.33";" ";" ";" ";" ";" ";"4508";" ";" ";" ";"Neubau Wohnüberbauung MFH Gossikonerstrasse 23, Gossikonerstrasse 23, 8126 Zumikon";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
"63241";"ZH-9546";"Neubau Wohnüberbauung MFH Gossikonerstrasse 23";"Neubau Wohnüberbauung EFH Gossikonerstrasse 23";"Gossikonerstrasse 23A";"8126";"Zumikon";"ZH";"160";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-02-01 16:07:32";"2020-07-06 14:18:03";"2021-02-01 16:07:32";" ";"247.6";"56.96";"50.98";"34.82";"33.33";" ";" ";" ";" ";" ";"4508";" ";" ";" ";"Neubau Wohnüberbauung EFH Gossikonerstrasse 23, Gossikonerstrasse 23A, 8126 Zumikon";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
"63622";"ZH-9576";"Wohnüberbauung Geerenstrasse Haus B1-B2";"Häuser B1 - B2";"Geerenstrasse 30";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:34:17";"2020-07-13 14:45:12";"2021-02-17 14:34:17";" ";"761.5";"66.78";"58.06";"29.08";"25.58";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Häuser B1 - B2, Geerenstrasse 30, 8302 Kloten";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63622";"ZH-9577";"Wohnüberbauung Geerenstrasse Haus B1-B2";"Häuser B1 - B2";"Geerenstrasse 32";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:34:17";"2020-07-13 14:45:12";"2021-02-17 14:34:17";" ";"761.6";"66.78";"58.06";"29.08";"25.58";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Häuser B1 - B2, Geerenstrasse 32, 8302 Kloten";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63622";"ZH-9578";"Wohnüberbauung Geerenstrasse Haus B1-B2";"Häuser B1 - B2";"Geerenstrasse 38";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:34:17";"2020-07-13 14:45:12";"2021-02-17 14:34:17";" ";"761.6";"66.78";"58.06";"29.08";"25.58";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Häuser B1 - B2, Geerenstrasse 38, 8302 Kloten";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63621";"ZH-9573";"Wohnüberbauung Geerenstrasse Haus C1-C3";"Haus C1";"Lindenstrasse 33";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:31:34";"2020-07-13 14:45:41";"2021-02-17 14:31:34";" ";"600";"74.86";"60.31";"32.01";"26.05";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus C1, Lindenstrasse 33, 8302 Kloten";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63621";"ZH-9574";"Wohnüberbauung Geerenstrasse Haus C1-C3";"Haus C2";"Lindenstrasse 31";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:31:34";"2020-07-13 14:45:41";"2021-02-17 14:31:34";" ";"1146.3";"74.86";"60.31";"32.01";"26.05";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus C2, Lindenstrasse 31, 8302 Kloten";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63621";"ZH-9575";"Wohnüberbauung Geerenstrasse Haus C1-C3";"Haus C3";"Lindenstrasse 29";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:31:34";"2020-07-13 14:45:41";"2021-02-17 14:31:34";" ";"1150.8";"74.86";"60.31";"32.01";"26.05";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus C3, Lindenstrasse 29, 8302 Kloten";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63625";"ZH-9579";"Wohnüberbauung Geerenstrasse Haus B3-B6";"Häuser B3 - B6";"Geerenstrasse 34";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:36:17";"2020-07-13 14:46:06";"2021-02-17 14:36:17";" ";"1768.7";"66.20";"59.72";"29.18";"29.22";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Häuser B3 - B6, Geerenstrasse 34, 8302 Kloten";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63625";"ZH-9580";"Wohnüberbauung Geerenstrasse Haus B3-B6";"Häuser B3 - B6";"Geerenstrasse 36";"8302";"Kloten";"ZH";"62";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-17 14:36:17";"2020-07-13 14:46:06";"2021-02-17 14:36:17";" ";"1768";"66.20";"59.72";"29.18";"29.22";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Häuser B3 - B6, Geerenstrasse 36, 8302 Kloten";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer, Elektro direkt und Photovoltaik";
"63620";"ZH-9605";"Überbauung Obstgarten Haus A/B";"Haus A";"Morgenstrasse 24";"8620";"Wetzikon";"ZH";"121";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-05-10 11:54:40";"2020-07-14 16:20:20";"2021-05-10 11:54:40";" ";"1023.5";"61.46";"57.07";"30.85";"27.22";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus A, Morgenstrasse 24, 8620 Wetzikon";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer und Photovoltaik";
"63620";"ZH-9606";"Überbauung Obstgarten Haus A/B";"Haus B";"Morgenstrasse 26";"8620";"Wetzikon";"ZH";"121";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-05-10 11:54:40";"2020-07-14 16:20:20";"2021-05-10 11:54:40";" ";"1023.5";"61.46";"57.07";"30.85";"27.22";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus B, Morgenstrasse 26, 8620 Wetzikon";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro-Wassererwärmer und Photovoltaik";
"63619";"ZH-9604";"Überbauung Obstgarten Haus C";"Haus C";"Morgenstrasse 28";"8620";"Wetzikon";"ZH";"121";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-05-10 11:57:51";"2020-07-14 16:22:27";"2021-05-10 11:57:51";" ";"963.5";"56.77";"51.99";"34.13";"33.89";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Haus C, Morgenstrasse 28, 8620 Wetzikon";"Luft-Wärmepumpe, Heizung, Luft-Wärmepumpe, Warmwasser, Elektro direkt, Elektro-Wassererwärmer und Photovoltaik";
"63716";"ZH-9614";"Geschäftshaus Schader";"Geschäftshaus Schader";"General-Guisan-Quai 26";"8002";"Zürich";"ZH";"261";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"0";"2021-05-25 11:20:29";"2020-07-23 16:20:11";"2021-05-25 11:20:29";" ";"13362";"117.07";"115.59";"0.00";"0.00";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Geschäftshaus Schader, General-Guisan-Quai 26, 8002 Zürich";"Wasser-Wärmepumpe, Heizung, Wasser-WP, Warmwasser, Gasfeuerung kondensierend und Photovoltaik";
"64057";"ZH-9559";"NB Gewerbe Höslistrasse Bubikon";"Neubau Gewerbe";"Höslistrasse 14";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-22 11:55:39";"2020-09-18 13:46:11";"2021-02-01 16:47:30";" ";"3063.5";"51.67";"45.12";"43.32";"30.30";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau Gewerbe, Höslistrasse 14, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64057";"ZH-9582";"NB Gewerbe Höslistrasse Bubikon";"Neubau Gewerbe";"Höslistrasse 16";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-22 11:55:39";"2020-09-18 13:46:11";"2021-02-01 16:47:30";" ";"3063.5";"51.67";"45.12";"43.32";"30.30";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau Gewerbe, Höslistrasse 16, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64045";"ZH-9549";"NB MFH (Haus 1) Höslistrasse Bubikon";"Neubau MFH (Haus 1)";"Höslistrasse 2";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:32:54";"2020-09-18 13:47:14";"2021-02-01 16:32:54";" ";"577.5";"60.06";"36.30";"32.15";"25.78";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 1), Höslistrasse 2, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64047";"ZH-9550";"NB MFH (Haus 2) Höslistrasse Bubikon";"Neubau MFH (Haus 2)";"Höslistrasse 2";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:37:13";"2020-09-18 13:47:44";"2021-02-01 16:37:13";" ";"609";"59.36";"36.31";"31.85";"28.22";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 2), Höslistrasse 2, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64048";"ZH-9551";"NB MFH (Haus 3) Höslistrasse Bubikon";"Neubau MFH (Haus 3)";"Höslistrasse 2 + 4";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:38:07";"2020-09-18 13:48:09";"2021-02-01 16:38:07";" ";"1013.5";"61.95";"38.10";"31.55";"25.97";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 3), Höslistrasse 2 + 4, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64049";"ZH-9552";"NB MFH (Haus 4) Höslistrasse Bubikon";"Neubau MFH (Haus 4)";"Höslistrasse 4";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:38:56";"2020-09-18 13:48:35";"2021-02-01 16:38:56";" ";"962.5";"61.14";"36.32";"30.51";"23.75";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 4), Höslistrasse 4, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64050";"ZH-9553";"NB MFH (Haus 5) Höslistrasse Bubikon";"Neubau MFH (Haus 5)";"Höslistrasse 6";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:39:42";"2020-09-18 13:48:57";"2021-02-01 16:39:42";" ";"609";"59.36";"36.95";"32.44";"29.50";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 5), Höslistrasse 6, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64051";"ZH-9554";"NB MFH (Haus 6) Höslistrasse Bubikon";"Neubau MFH (Haus 6)";"Höslistrasse 6 + 8";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:40:24";"2020-09-18 13:49:22";"2021-02-01 16:40:24";" ";"854";"64.82";"42.63";"32.00";"29.97";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 6), Höslistrasse 6 + 8, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64052";"ZH-9555";"NB MFH (Haus 7) Höslistrasse Bubikon";"Neubau MFH (Haus 7)";"Höslistrasse 8";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:42:13";"2020-09-18 13:49:49";"2021-02-01 16:42:13";" ";"581.5";"59.97";"33.38";"30.07";"26.58";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 7), Höslistrasse 8, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64053";"ZH-9556";"NB MFH (Haus 8) Höslistrasse Bubikon";"Neubau MFH (Haus 8)";"Höslistrasse 10";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:42:59";"2020-09-18 13:50:13";"2021-02-01 16:42:59";" ";"552.5";"60.67";"35.81";"31.40";"29.03";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 8), Höslistrasse 10, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64054";"ZH-9557";"NB MFH (Haus 9) Höslistrasse Bubikon";"Neubau MFH (Haus 9)";"Höslistrasse 10 + 12";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:44:13";"2020-09-18 13:50:39";"2021-02-01 16:44:13";" ";"716";"61.07";"41.69";"32.15";"30.94";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 9), Höslistrasse 10 + 12, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64055";"ZH-9558";"NB MFH (Haus 10) Höslistrasse Bubikon";"Neubau MFH (Haus 10)";"Höslistrasse 12";"8608";"Bubikon";"ZH";"112";"provisorisch";"Minergie";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-02-01 16:45:05";"2020-09-18 13:51:02";"2021-02-01 16:45:05";" ";"504";"56.44";"39.00";"36.01";"34.64";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Neubau MFH (Haus 10), Höslistrasse 12, 8608 Bubikon";"WKK Holz - therm.+elektr. Anteil, WKK - thermischer+elektr. Anteil und WKK - thermischer+elektr. Anteil";
"64254";"ZH-783-P";"MINERGIE-P Neubau EFH Gloor, Marthalen";"Neubau EFH Ruesstrass, 8460 Marthalen";"Ruesstrass 999";"8460";"Dübendorf348";"ZH";"35";"provisorisch";"Minergie-P";"Label";"Zertifizierungsstelle ZH";"1";"1";"2021-01-06 14:17:14";"2020-10-06 08:30:56";"2021-01-06 14:17:14";" ";"348.4";"50.00";"46.48";"30.35";"27.20";" ";" ";" ";" ";" ";"3266";" ";" ";" ";"Neubau EFH Ruesstrass, 8460 Marthalen, Ruesstrass 999, 8460 Dübendorf348";"Erdsonden-WP, Heizung, Erdsonden-WP, Warmwasser und Photovoltaik";
